NIC58	IPR_accession	IPR_description	GO
NIC58.7649	IPR006029	Neurotransmitter-gated ion-channel transmembrane domain	GO:0006811(InterPro)|GO:0016020(InterPro)
NIC58.7649	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily	GO:0005230(InterPro)|GO:0006811(InterPro)|GO:0016020(InterPro)
NIC58.7649	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily	GO:0005230(InterPro)|GO:0006811(InterPro)|GO:0016020(InterPro)
NIC58.7649	IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily	GO:0005230(InterPro)|GO:0006811(InterPro)|GO:0016020(InterPro)
NIC58.19893	IPR001107	Band 7 domain	-
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001972	Stomatin/HflK family	GO:0016020(InterPro)
NIC58.19893	IPR001107	Band 7 domain	-
NIC58.19893	IPR036013	Band 7/SPFH domain superfamily	-
NIC58.19893	IPR036013	Band 7/SPFH domain superfamily	-
NIC58.19893	IPR018080	Band 7/stomatin-like, conserved site	-
NIC58.19893	IPR043202	Band-7 stomatin-like	GO:0005886(PANTHER)|GO:0005886(InterPro)
NIC58.892	IPR016024	Armadillo-type fold	-
NIC58.892	IPR038902	Integrator complex subunit 1	GO:0032039(PANTHER)|GO:0032039(InterPro)|GO:0034474(PANTHER)|GO:0034474(InterPro)
NIC58.892	IPR022145	Integrator complex subunit 1, RPB2-binding domain	-
NIC58.892	IPR022145	Integrator complex subunit 1, RPB2-binding domain	-
NIC58.13453	IPR003511	HORMA domain	-
NIC58.13453	IPR045091	Mad2-like	GO:0000776(PANTHER)|GO:0005654(PANTHER)|GO:0005737(PANTHER)|GO:0007094(PANTHER)
NIC58.13453	IPR036570	HORMA domain superfamily	-
NIC58.13453	IPR003511	HORMA domain	-
NIC58.13453	IPR036570	HORMA domain superfamily	-
NIC58.6772	IPR003406	Glycosyl transferase, family 14	GO:0016020(InterPro)|GO:0016757(InterPro)
NIC58.16927	IPR005020	Protein LIN-8	-
NIC58.16927	IPR046341	SET domain superfamily	-
NIC58.16927	IPR001214	SET domain	GO:0005515(InterPro)
NIC58.16927	IPR003616	Post-SET domain	-
NIC58.16927	IPR046341	SET domain superfamily	-
NIC58.16927	IPR050973	Histone-lysine N-methyltransferase, H3 Lys-9 specific	-
NIC58.16927	IPR001214	SET domain	GO:0005515(InterPro)
NIC58.16927	IPR001214	SET domain	GO:0005515(InterPro)
NIC58.1503	IPR001534	Transthyretin-like	GO:0009986(InterPro)
NIC58.1503	IPR038479	Transthyretin-like superfamily	-
NIC58.1503	IPR001534	Transthyretin-like	GO:0009986(InterPro)
NIC58.9785	IPR019428	7TM GPCR, serpentine receptor class r (Str)	-
NIC58.15785	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.15785	-	-	GO:0009790(PANTHER)
NIC58.14796	IPR000582	Acyl-CoA-binding protein, ACBP	GO:0000062(InterPro)
NIC58.14796	IPR000582	Acyl-CoA-binding protein, ACBP	GO:0000062(InterPro)
NIC58.14796	IPR000582	Acyl-CoA-binding protein, ACBP	GO:0000062(InterPro)
NIC58.14796	IPR000582	Acyl-CoA-binding protein, ACBP	GO:0000062(InterPro)
NIC58.14796	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.14796	IPR000582	Acyl-CoA-binding protein, ACBP	GO:0000062(InterPro)
NIC58.14796	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.14796	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.14796	IPR036770	Ankyrin repeat-containing domain superfamily	-
NIC58.14796	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.14796	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.14796	IPR000582	Acyl-CoA-binding protein, ACBP	GO:0000062(InterPro)
NIC58.14796	IPR035984	Acyl-CoA binding protein superfamily	GO:0000062(InterPro)
NIC58.14796	-	-	GO:0000062(PANTHER)
NIC58.14796	IPR036770	Ankyrin repeat-containing domain superfamily	-
NIC58.14796	IPR014352	FERM/acyl-CoA-binding protein superfamily	-
NIC58.7769	IPR019428	7TM GPCR, serpentine receptor class r (Str)	-
NIC58.7769	IPR019429	7TM GPCR, serpentine chemoreceptor class i (Sri)	-
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.16968	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.12534	IPR012336	Thioredoxin-like fold	-
NIC58.12534	IPR017937	Thioredoxin, conserved site	-
NIC58.12534	IPR052259	Nucleoredoxin-like	-
NIC58.12534	IPR036249	Thioredoxin-like superfamily	-
NIC58.12534	IPR013766	Thioredoxin domain	-
NIC58.13350	IPR036869	Chaperone J-domain superfamily	-
NIC58.13350	IPR001623	DnaJ domain	-
NIC58.13350	IPR004640	Co-chaperone Hsc20	GO:0001671(InterPro)|GO:0044571(InterPro)|GO:0051087(InterPro)
NIC58.13350	IPR036386	HscB, C-terminal domain superfamily	GO:0051259(InterPro)
NIC58.13350	IPR004640	Co-chaperone Hsc20	GO:0001671(InterPro)|GO:0005739(PANTHER)|GO:0044571(PANTHER)|GO:0044571(InterPro)|GO:0051087(InterPro)
NIC58.13350	IPR001623	DnaJ domain	-
NIC58.13350	IPR036386	HscB, C-terminal domain superfamily	GO:0051259(InterPro)
NIC58.13350	IPR001623	DnaJ domain	-
NIC58.13350	IPR001623	DnaJ domain	-
NIC58.13350	IPR036869	Chaperone J-domain superfamily	-
NIC58.13350	IPR009073	Co-chaperone HscB, C-terminal oligomerisation domain	GO:0051259(InterPro)
NIC58.16292	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	-
NIC58.16292	IPR000940	Methyltransferase, NNMT/PNMT/TEMT	GO:0008168(InterPro)
NIC58.16292	IPR000940	Methyltransferase, NNMT/PNMT/TEMT	GO:0008168(InterPro)
NIC58.16292	IPR000940	Methyltransferase, NNMT/PNMT/TEMT	GO:0005829(PANTHER)|GO:0008168(InterPro)|GO:0008170(PANTHER)
NIC58.16292	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	-
NIC58.15314	IPR019775	WD40 repeat, conserved site	-
NIC58.15314	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.15314	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.15314	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.15314	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.15314	IPR052415	Diphthine methyltransferase	GO:0005737(PANTHER)|GO:0017183(PANTHER)|GO:0061685(PANTHER)
NIC58.15314	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.15314	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.19258	IPR002659	Glycosyl transferase, family 31	GO:0000139(PANTHER)|GO:0006486(InterPro)|GO:0006493(PANTHER)|GO:0016020(InterPro)|GO:0016757(PANTHER)|GO:0016758(InterPro)
NIC58.19258	IPR002659	Glycosyl transferase, family 31	GO:0006486(InterPro)|GO:0016020(InterPro)|GO:0016758(InterPro)
NIC58.4109	IPR053220	Nematode receptor-like serpentine class H	-
NIC58.4109	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.14752	IPR019787	Zinc finger, PHD-finger	-
NIC58.14752	IPR019787	Zinc finger, PHD-finger	-
NIC58.14752	IPR019786	Zinc finger, PHD-type, conserved site	-
NIC58.14752	IPR000253	Forkhead-associated (FHA) domain	GO:0005515(InterPro)
NIC58.14752	IPR042163	PHD finger protein 12	GO:0000122(PANTHER)|GO:0003714(PANTHER)|GO:0003714(InterPro)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0045892(InterPro)|GO:0070822(PANTHER)|GO:0140110(PANTHER)
NIC58.14752	IPR001965	Zinc finger, PHD-type	-
NIC58.14752	IPR001965	Zinc finger, PHD-type	-
NIC58.14752	IPR011011	Zinc finger, FYVE/PHD-type	-
NIC58.14752	IPR011011	Zinc finger, FYVE/PHD-type	-
NIC58.14752	IPR019787	Zinc finger, PHD-finger	-
NIC58.14752	IPR013083	Zinc finger, RING/FYVE/PHD-type	-
NIC58.12707	IPR039267	U7 snRNA-associated Sm-like protein Lsm11	GO:0005683(PANTHER)|GO:0006398(PANTHER)|GO:0071209(PANTHER)|GO:0071209(InterPro)
NIC58.12707	IPR010920	LSM domain superfamily	-
NIC58.12707	IPR001163	Sm domain, eukaryotic/archaea-type	-
NIC58.19274	IPR036941	Receptor L-domain superfamily	-
NIC58.19274	IPR036941	Receptor L-domain superfamily	-
NIC58.19274	IPR053079	SPS2 domain-containing protein	-
NIC58.19274	IPR000494	Receptor L-domain	-
NIC58.19274	IPR000494	Receptor L-domain	-
NIC58.4778	IPR035547	Phospholipase B	-
NIC58.4778	IPR036514	SGNH hydrolase superfamily	-
NIC58.4778	IPR038885	Phospholipase B1, membrane-associated	GO:0004620(PANTHER)|GO:0004620(InterPro)|GO:0006644(PANTHER)
NIC58.4778	IPR001087	GDSL lipase/esterase	GO:0016788(InterPro)
NIC58.3060	-	-	GO:0004370(PANTHER)|GO:0005739(PANTHER)|GO:0006071(PANTHER)|GO:0006641(PANTHER)|GO:0016310(PANTHER)|GO:0046167(PANTHER)
NIC58.3060	IPR043129	ATPase, nucleotide binding domain	-
NIC58.3060	IPR018484	Carbohydrate kinase FGGY, N-terminal	GO:0005975(InterPro)|GO:0016301(InterPro)
NIC58.3060	IPR018483	Carbohydrate kinase, FGGY, conserved site	GO:0005975(InterPro)|GO:0016773(InterPro)
NIC58.3060	IPR005999	Glycerol kinase	GO:0004370(InterPro)|GO:0006072(InterPro)
NIC58.3060	IPR043129	ATPase, nucleotide binding domain	-
NIC58.3060	IPR000577	Carbohydrate kinase, FGGY	GO:0005975(InterPro)|GO:0016301(InterPro)
NIC58.3060	IPR018485	Carbohydrate kinase FGGY, C-terminal	GO:0005975(InterPro)|GO:0016301(InterPro)
NIC58.3060	IPR042018	Glycerol kinase, metazoan-type	-
NIC58.14837	IPR020843	Enoylreductase domain	GO:0016491(InterPro)
NIC58.14837	IPR051034	Mitochondrial Enoyl-ACP Reductase	GO:0005739(PANTHER)|GO:0006631(PANTHER)
NIC58.14837	IPR013154	Alcohol dehydrogenase-like, N-terminal	-
NIC58.14837	IPR011032	GroES-like superfamily	-
NIC58.14837	IPR013149	Alcohol dehydrogenase-like, C-terminal	-
NIC58.14837	IPR036291	NAD(P)-binding domain superfamily	-
NIC58.11967	IPR003677	SXP/RAL-2 family protein Ani s 5-like, cation-binding domain	-
NIC58.1623	IPR024072	Dihydrofolate reductase-like domain superfamily	-
NIC58.1623	IPR012259	Dihydrofolate reductase	GO:0004146(PANTHER)|GO:0004146(InterPro)|GO:0005739(PANTHER)|GO:0046452(PANTHER)|GO:0046654(PANTHER)|GO:0046654(InterPro)|GO:0046655(PANTHER)|GO:0050661(InterPro)|GO:0050661(PANTHER)
NIC58.1623	IPR017925	Dihydrofolate reductase conserved site	GO:0004146(InterPro)
NIC58.1623	IPR001796	Dihydrofolate reductase domain	GO:0004146(InterPro)|GO:0046654(InterPro)
NIC58.1623	IPR001796	Dihydrofolate reductase domain	GO:0004146(InterPro)|GO:0046654(InterPro)
NIC58.1623	IPR001796	Dihydrofolate reductase domain	GO:0004146(InterPro)|GO:0046654(InterPro)
NIC58.1623	IPR024072	Dihydrofolate reductase-like domain superfamily	-
NIC58.3654	IPR009924	Protein of unknown function DUF1459	-
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.9379	IPR020472	PAC1/LIS1-like, WD-40 repeat	-
NIC58.9379	IPR020472	PAC1/LIS1-like, WD-40 repeat	-
NIC58.9379	IPR020472	PAC1/LIS1-like, WD-40 repeat	-
NIC58.9379	IPR051865	WD repeat-containing CDT2 adapter protein	GO:0005634(PANTHER)|GO:0007095(PANTHER)|GO:0030674(PANTHER)|GO:0043161(PANTHER)
NIC58.9379	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.9379	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.9379	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.13900	IPR001849	Pleckstrin homology domain	-
NIC58.13900	IPR012966	Anillin homology domain	-
NIC58.13900	IPR037840	Anillin, PH domain	-
NIC58.13900	IPR051364	Cytokinesis and Rho signaling-related protein	GO:0000281(PANTHER)|GO:0000915(PANTHER)|GO:0005826(PANTHER)|GO:0031106(PANTHER)
NIC58.13900	IPR001849	Pleckstrin homology domain	-
NIC58.13900	IPR011993	PH-like domain superfamily	-
NIC58.13900	IPR001849	Pleckstrin homology domain	-
NIC58.640	IPR001666	Phosphatidylinositol transfer protein	GO:0005548(InterPro)|GO:0005737(PANTHER)|GO:0008525(PANTHER)|GO:0008526(PANTHER)|GO:0015914(InterPro)|GO:0031210(PANTHER)|GO:0035091(PANTHER)
NIC58.640	IPR023393	START-like domain superfamily	-
NIC58.640	IPR001666	Phosphatidylinositol transfer protein	GO:0005548(InterPro)|GO:0015914(InterPro)
NIC58.640	IPR001666	Phosphatidylinositol transfer protein	GO:0005548(InterPro)|GO:0015914(InterPro)
NIC58.640	IPR001666	Phosphatidylinositol transfer protein	GO:0005548(InterPro)|GO:0015914(InterPro)
NIC58.640	IPR001666	Phosphatidylinositol transfer protein	GO:0005548(InterPro)|GO:0015914(InterPro)
NIC58.640	IPR055261	Phosphatidylinositol transfer protein, N-terminal	-
NIC58.10573	IPR048941	ATG1-like, MIT domain 2	-
NIC58.10573	IPR017441	Protein kinase, ATP binding site	GO:0005524(InterPro)
NIC58.10573	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.10573	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672(InterPro)|GO:0006468(InterPro)
NIC58.10573	IPR017184	Serine/threonine-protein kinase Unc-51	GO:0004672(InterPro)
NIC58.10573	IPR022708	Serine/threonine-protein kinase Atg1-like, tMIT domain	GO:0004674(InterPro)
NIC58.10573	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.10573	IPR011009	Protein kinase-like domain superfamily	-
NIC58.10573	IPR045269	Serine/threonine-protein kinase Atg1-like	GO:0000045(PANTHER)|GO:0000407(PANTHER)|GO:0000422(PANTHER)|GO:0004674(InterPro)|GO:0004674(PANTHER)|GO:0005737(PANTHER)|GO:0005776(PANTHER)|GO:0005829(PANTHER)|GO:0010506(PANTHER)|GO:0010506(InterPro)|GO:0010508(PANTHER)|GO:0016020(PANTHER)|GO:0018105(PANTHER)|GO:0034045(PANTHER)|GO:0034727(PANTHER)|GO:0042594(PANTHER)|GO:0046777(PANTHER)|GO:0048675(PANTHER)|GO:0061709(PANTHER)
NIC58.10573	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.12787	IPR036056	Fibrinogen-like, C-terminal	-
NIC58.12787	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain	-
NIC58.12787	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain	-
NIC58.12787	IPR014716	Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1	-
NIC58.12787	IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain	-
NIC58.12787	IPR050373	Fibrinogen C-terminal domain-containing protein	GO:0005615(PANTHER)|GO:0062023(PANTHER)
NIC58.3013	IPR016067	S-adenosylmethionine decarboxylase, core	GO:0004014(InterPro)|GO:0008295(InterPro)
NIC58.3013	IPR048283	S-adenosylmethionine decarboxylase-like	GO:0004014(PANTHER)|GO:0005829(PANTHER)|GO:0006597(PANTHER)|GO:0008295(PANTHER)
NIC58.3013	IPR048283	S-adenosylmethionine decarboxylase-like	-
NIC58.3013	IPR018166	S-adenosylmethionine decarboxylase, conserved site	GO:0004014(InterPro)
NIC58.3013	IPR001985	S-adenosylmethionine decarboxylase, eukaryotes	GO:0004014(InterPro)|GO:0006597(InterPro)|GO:0008295(InterPro)
NIC58.3013	IPR001985	S-adenosylmethionine decarboxylase, eukaryotes	GO:0004014(InterPro)|GO:0006597(InterPro)|GO:0008295(InterPro)
NIC58.4571	IPR002347	Short-chain dehydrogenase/reductase SDR	-
NIC58.4571	IPR002347	Short-chain dehydrogenase/reductase SDR	-
NIC58.4571	IPR002347	Short-chain dehydrogenase/reductase SDR	-
NIC58.4571	IPR002347	Short-chain dehydrogenase/reductase SDR	-
NIC58.4571	IPR002347	Short-chain dehydrogenase/reductase SDR	-
NIC58.4571	IPR036291	NAD(P)-binding domain superfamily	-
NIC58.1868	IPR040308	HUWE1-associated protein modifying stress responses	-
NIC58.1868	IPR029196	HUWE1-associated protein modifying stress responses-like	-
NIC58.5294	IPR000286	Histone deacetylase HDAC	-
NIC58.5294	IPR000286	Histone deacetylase HDAC	-
NIC58.5294	IPR000286	Histone deacetylase HDAC	-
NIC58.5294	IPR037138	Histone deacetylase domain superfamily	-
NIC58.5294	IPR023696	Ureohydrolase domain superfamily	-
NIC58.5294	IPR013087	Zinc finger C2H2-type	-
NIC58.5294	IPR013087	Zinc finger C2H2-type	-
NIC58.5294	-	-	GO:0000118(PANTHER)|GO:0004407(PANTHER)|GO:0016575(PANTHER)|GO:0040029(PANTHER)
NIC58.5294	IPR023801	Histone deacetylase domain	-
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.12971	IPR029052	Metallo-dependent phosphatase-like	-
NIC58.12971	IPR050341	Serine/threonine-protein phosphatase PP1 catalytic subunit	-
NIC58.12971	IPR004843	Calcineurin-like, phosphoesterase domain	GO:0016787(InterPro)
NIC58.12971	IPR029052	Metallo-dependent phosphatase-like	-
NIC58.12971	IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	GO:0016787(InterPro)
NIC58.19038	IPR009003	Peptidase S1, PA clan	-
NIC58.19038	IPR000626	Ubiquitin-like domain	GO:0005515(InterPro)
NIC58.19038	IPR029071	Ubiquitin-like domain superfamily	-
NIC58.19038	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	-
NIC58.14686	IPR005225	Small GTP-binding domain	GO:0005525(InterPro)
NIC58.14686	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.14686	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)
NIC58.14686	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.14686	IPR041822	Rab33A/B	GO:0003924(InterPro)|GO:0032482(InterPro)
NIC58.14686	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)
NIC58.14686	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)
NIC58.1428	IPR036770	Ankyrin repeat-containing domain superfamily	-
NIC58.1428	IPR000953	Chromo/chromo shadow domain	-
NIC58.1428	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.1428	IPR036770	Ankyrin repeat-containing domain superfamily	-
NIC58.1428	IPR016197	Chromo-like domain superfamily	-
NIC58.1428	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.1428	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.1428	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.9851	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.9851	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.10730	IPR019425	7TM GPCR, serpentine receptor class t (Srt)	-
NIC58.10730	IPR004151	7TM GPCR, serpentine receptor class e (Sre)	GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.10730	IPR019425	7TM GPCR, serpentine receptor class t (Srt)	-
NIC58.1076	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.1076	IPR030231	GPN-loop GTPase 2	-
NIC58.1076	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.1076	IPR004130	GPN-loop GTPase	GO:0003924(PANTHER)|GO:0005737(PANTHER)
NIC58.1076	IPR004130	GPN-loop GTPase	-
NIC58.15842	-	-	GO:0009790(PANTHER)
NIC58.13401	IPR000536	Nuclear hormone receptor, ligand-binding domain	-
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR035500	Nuclear hormone receptor-like domain superfamily	-
NIC58.13401	IPR035500	Nuclear hormone receptor-like domain superfamily	-
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR050274	Nuclear hormone receptor family NR2 subfamily	-
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR000536	Nuclear hormone receptor, ligand-binding domain	-
NIC58.13401	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)
NIC58.13401	IPR048245	Nuclear receptor subfamily 2 group C member 1/2-like, DNA-binding domain	-
NIC58.13401	IPR013088	Zinc finger, NHR/GATA-type	GO:0006355(InterPro)|GO:0008270(InterPro)
NIC58.6014	IPR018817	7TM GPCR, serpentine receptor class z (Srz)	-
NIC58.12330	IPR008160	Collagen triple helix repeat	-
NIC58.12330	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)
NIC58.12330	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR033705	Valyl tRNA synthetase, anticodon-binding domain	-
NIC58.2680	IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	GO:0000166(InterPro)|GO:0004812(InterPro)|GO:0005524(InterPro)|GO:0006418(InterPro)
NIC58.2680	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	GO:0000166(InterPro)|GO:0004812(InterPro)|GO:0005524(InterPro)|GO:0006418(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR013155	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding	GO:0004812(InterPro)|GO:0006418(InterPro)
NIC58.2680	IPR002303	Valine-tRNA ligase	GO:0000166(InterPro)|GO:0004832(InterPro)|GO:0005524(InterPro)|GO:0006438(InterPro)
NIC58.2680	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	-
